col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
"Michael Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Michael Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Michael Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal Pazzani and Dennis Kibler.	The utility of knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of background knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of background knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of background knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of background knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal J. Pazzani and Dennis Kibler.	The utility of knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal J. Pazzani and Dennis Kibler.	The utility of knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of prior knowledge in inductive learning.	9	54-97","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of prior knowledge in inductive learning.	9	54-97","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal J. Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	54-97","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal J. Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	54-97","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal J. Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	54-97","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"Micheal J. Pazzani and Dennis Kibler.	The role of prior knowledge in inductive learning.	9	54-97","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of background knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of background knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"M. Pazzani and D. Kibler.	The utility of knowledge in inductive learning.	9	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992.	?",?,?
"J. A. Clouse and P. E. Utgoff.	A teaching method for reinforcement learning.	?","	pages 92-101.	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Ninth International Workshop on Machine Learning","	?","	?","	?","	?","	1992.	?",?,?
"J. A. Clouse and P. E. Utgoff.	A teaching method for reinforcement learning.	?","	?","	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Ninth Conference on Machine Learning.	?","	?","	?","	?","	1992.	?",?,?
"J. A. Clouse and P. E. Utgoff.	A teaching method for reinforcement learning.	?","	pages 92-101.	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Ninth International Conference on Machine Learning","	?","	?","	?","	?","	1992.	?",?,?
"Michael Pazzani and Dennis Kibler.	The utility of knowledge in inductive learning.	(9)	:57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1992	?",?,?
"D. Aha and D. Kibler.	Noise-tolerant instance-based learning algorithms.	8:	794-799","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?",?,?
"Pazzani M. and Kibler D.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?",?,?
"Pazzani M. and Kibler D.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?",?,?
"Pazzani M. and Kibler D.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?",?,?
"Pazzani M. and Kibler D.	The utility of knowledge in inductive learning.	9(1)	57-94","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1991.	?",?,?
"D. Ruby and D. Kibler.	Learning subgoal sequences for planning.	?","	?","	?","	?","	AAAI Press","	?","	?","	In Proceedings of AAAI-91.	?","	?","	?","	?","	1991.	?",?,?
"D. Ruby and D. Kibler.	Learning subgoal sequences for planning.	?","	?","	?","	?","	AAAI Press","	?","	?","	In Proceedings of AAAI-91.	?","	?","	?","	?","	1991.	?",?,?
"J. Callan and P. Utgoff.	A transformational approach to constructive induction.	?","	pages 122-126.	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Eighth International Workshop on Machine Learning","	?","	?","	?","	?","	1991.	?",?,?
"J. Callan and P. Utgoff.	A transformational approach to constructive induction.	?","	pages 122-126.	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Eighth International Workshop on Machine Learning","	?","	?","	?","	?","	1991.	?",?,?
Fawcett, T. E. and Utgoff," P. E.	A Hybrid Method for Feature Generation.	?","	137-141.	?","	?","	Morgan Kaufmann","	San Mateo.	?","	In Proceedings of the Eighth International Workshop on Machine Learning","	Ed. L. A. Birnbaum and G. C. Collins.	?","	?","	?","	1991.	?",?,?
Utgoff, P.," and Clouse.	Two kinds of training information for evaluation function learning.	?","	596-600.	?","	?","	AAAI Press/MIT Press.	Anaheim:	?","	In Proceedings of Ninth National Conference on Artificial Intelligence","	?","	?","	?","	?","	1991.	?",?,?
"P. Utgoff and J. Clouse.	Two kinds of training information for evaluation function learning.	?","	?","	?","	?","	AAAI Press","	?","	?","	In Proceeding of the Ninth National Conference on Artificial Intelligence       (AAAI-91).     	?","	?","	?","	?","	1991.	?",?,?
"P. E. Utgoff and C. E. Brodley.	An incremental method for finding multivariate splits for decision trees.	16	pages 58-65","	?","	?","	Morgan Kaufmann.	Los Altos", CA,"	?","	In Proceedings of the Seventh International Conference on Machine Learning","     	?","	?","	?","	?","	1990.	?",?,?
"D.W. Aha and D. Kibler.	Noise-tolerant instance-based learning algorithm.	?","	pages 794-799","	?","	?","	Morgan Kaufmann.	Detroit","	?","	In International Joint Conference on Artificial Intelligence","	?","	?","	?","	?","	1989.	?",?,?
"D. Kibler and D. W. Aha.	Instance-based prediction of real-valued attributes.	5(2)	51-57","	?","	Computational Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"D. Kibler and D. W. Aha.	Instance-based prediction of real-valued attributes.	5(2)	51-57","	?","	Computational Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	:161 - 186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. Utgoff.	Incremental induction of decision trees.	4(2)	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. Utgoff.	Incremental induction of decision trees.	4(2)	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P.E. Utgoff.	Incremental induction of decision trees.	4(2)	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P.E. Utgoff.	Incremental induction of decision trees.	4	161-186","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Paul E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"P. E. Utgoff.	Perceptron trees: A case study in hybrid concept representations.	1(4)	377-391","	?","	Connection Science","	?","	?","	?","	?","	?","	?","	?","	?","	1989.	?",?,?
"Utgoff P.E.:	Incremental Learning of Decision trees.","	4	161-186","	?","	Machine Learning	?","	?","	?","	?","	?","	?","	?","	?","	1989	?",?,?
Utgoff," P.	ID5: An Incremental ID3.	?","	107-120.	?","	?","	?","	?","	?","	In Proceedings of the Fifth International Conference on Machine Learning.	?","	?","	?","	?","	1988.	?",?,?
Utgoff," P.	ID5: An Incremental ID3.	?","	107-120.	?","	?","	?","	?","	?","	In Proceedings of the Fifth International Conference on Machine Learning.	?","	?","	?","	?","	1988.	?",?,?
Utgoff," P.	ID5: An Incremental ID3.	?","	107-120.	?","	?","	?","	?","	?","	In Proceedings of the Fifth International Conference on Machine Learning.	?","	?","	?","	?","	1988.	?",?,?
Utgoff," P.	ID5: An Incremental ID3.	?","	107-120.	?","	?","	?","	?","	?","	In Proceedings of the Fifth International Conference on Machine Learning.	?","	?","	?","	?","	1988.	?",?,?
"P. Utgoff. ID5:	An incremental ID3.	?","	pages 107-120.	?","	?","	Morgan Kaufmann","	?","	?","	In Proc. 5th Intl. Conf. Mach. Learning","	?","	?","	?","	?","	1988.	?",?,?
"P. Utgoff. ID5:	An incremental ID3.	?","	pages 107-120.	?","	?","	Morgan Kaufmann","	?","	?","	In Proc. 5th Intl. Conf. Mach. Learning","	?","	?","	?","	?","	1988.	?",?,?
"P. Utgoff. ID5:	An incremental ID3.	?","	pages 107-120.	?","	?","	Morgan Kaufmann","	?","	?","	In Proc. 5th Intl. Conf. Mach. Learning","	?","	?","	?","	?","	1988.	?",?,?
Utgoff," P. E.	Perceptron Trees: A Case Study in Hybrid Concept Representation.	?","	601-6.	?","	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	In AAAI-88 Proceedings of the Seventh National Conference on Artificial       Intelligence","     	?","	?","	?","	?","	1988.	?",?,?
Utgoff," P. E.	Perceptron trees: a case study in hybrid concept representation.	?","	601-606.	?","	?","	Morgan Kaufmann.	?","	?","	In Proceedings of the Seventh National Conference on Artificial Intelligence","     	?","	?","	?","	?","	1988.	?",?,?
Utgoff," P. E.	Perceptron Trees: A Case Study in Hybrid Concept Representation.	?","	601-6.	?","	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	In A A A I - 8 8 Proceedings of the Seventh National Conference on Artificial       Intelligence","     	?","	?","	?","	?","	1988.	?",?,?
"Paul E. Utgoff.	Perceptron trees: a case study in hybrid concept representation.	?","	pages 601-606.	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Seventh National Conference on Artificial Intelligence","     	?","	?","	?","	?","	1988.	?",?,?
"Paul E. Utgoff.	Perceptron trees: a case study in hybrid concept representation.	?","	pages 601-606.	?","	?","	Morgan Kaufmann","	?","	?","	In Proceedings of the Seventh National Conference on Artificial Intelligence","     	?","	?","	?","	?","	1988.	?",?,?
"D. Kibler and D. Aha.	Learning representative exemplars of concepts: An initial case study.	?","	pages 24-30.	?","	?","	Morgan Kaufmann","	Los Altos:	?","	Proceedings of the Fourth International Workshop on Machine Learning","	In Pat Langley", editor,"	?","	?","	?","	1987.	?",?,?
"B. Porter and D. Kibler.	Experimental goal regression: A method for learning problem-solving heuristics.	1	249-286","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1986.	?",?,?
"Bruce Porter and Dennus Kibler.	Experimental goal regression: A method for learning problem-solving heuristics.	1	249-286","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1986.	?",?,?
"Bruce Porter and Dennus Kibler.	Experimental goal regression: A method for learning problem-solving heuristics.	1	249-286","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1986.	?",?,?
"Bruce Porter and Dennus Kibler.	Experimental goal regression: A method for learning problem-solving heuristics.	1	249-286","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1986.	?",?,?
"Bruce Porter and Dennus Kibler.	Experimental goal regression: A method for learning problem-solving heuristics.	1	249-286","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1986.	?",?,?
"Bruce Porter and Dennus Kibler.	Experimental goal regression: A method for learning problem-solving heuristics.	1	249-286","	?","	Machine Learning","	?","	?","	?","	?","	?","	?","	?","	?","	1986.	?",?,?
"J.S. Conery and D.F. Kibler.	And parallelism and nondeterminism in logic programs.	3	43-70","	?","	New Generation Computing","	?","	?","	?","	?","	?","	?","	?","	?","	1985.	?",?,?
"J.S. Conery and D.F. Kibler.	And parallelism and nondeterminism in logic programs.	3	43-70","	?","	New Generation Computing","	?","	?","	?","	?","	?","	?","	?","	?","	1985.	?",?,?
"Utgoff P. E. Mitchell Tom M. and Banerji R. B.	Learning by experimentation: Acquiring and refining problem- solving heuristics.	?","	?","	?","	?","	Tioga","	?","	?","	In Machine Learning.	?","	?","	?","	?","	1982.	?",?,?
"David S. Johnson.	The NP-completeness Column : An Outgoing Guide.	(3)	:381-395","	?","	Journal of Algorithms","	?","	?","	?","	?","	?","	?","	?","	?","	1982	?",?,?
?,"	An investigation of niche and species formation in genetic function optimization.	?","	pp. 42-50.	(1989).	?","	Morgan Kaufmann.	?","	?","	Proceedings of the Third International Conference on Genetic Algorithms","	In J. Schaffer (Ed.)","	?","	?","	?","	?","	?",?,?
"Scott Elliott Fahlman.	A planning system for robot construction tasks.	5(1)	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"Scott Elliott Fahlman.	A planning system for robot construction tasks.	5(1)	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
Fahlman," S.E.	A Planning System for Robot Construction Tasks.	5(1)	1-49.	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"S. E. Fahlman.	A planning system for robot construction tasks.	5	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"S. E. Fahlman.	A planning system for robot construction tasks.	5	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"S.E. Fahlman.	A planning system for robot construction tasks.	5	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"S Fahlman.	A planning system for robot construction tasks.	5	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"S. E. Fahlman.	A planning system for robot construction tasks.	5	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"Scott Elliott Fahlman.	A planning system for robot construction tasks.	5(1)	1-49","	1974.	Artificial Intelligence","	?","	?","	?","	?","	?","	?","	?","	?","	?","	?",?,?
"Scott E. Fahlman.	Extended abstract:	2	283-286","	1985.	?","	?","	?","	?","	Parallel processing in artificial intelligence. Parallel Computing","	?","	?","	?","	?","	?","	?",?,?
Fahlman," S.E.	Faster learning variations on backpropagation: An empirical study.	?","	?","	(1988)	?","	Morgan Kauffman	San Mateo"," CA:	?","	In Proc. 1988 Connectionist Models Summer School.	?","	?","	?","	?","	?","	?",?,?
"S. E. Fahlman.	Faster-learning variations on back-propagation: An empirical study.	?","	?","	1988.	?","	Morgan Kauffman Inc.","	?","	?","	In Proceedings of the 1988 Connectionists Models Summer School.	?","	?","	?","	?","	?","	?",?,?
Fahlman," S.E.	An Empirical Study of Learning Speed in Back-Propagation Networks.	?","	?","	1988.	?","	Morgan-Kaufmann.	?","	?","	In Proceedings of the 1988 Connectionist Models Summer School.	?","	?","	?","	?","	?","	?",?,?
Fahlman," S.E.	An Empirical Study of Learning Speed in Back-Propagation Networks.	?","	?","	1988.	?","	Morgan-Kaufmann.	?","	?","	In Proceedings of the 1988 Connectionist Models Summer School.	?","	?","	?","	?","	?","	?",?,?
Fahlman, S. E. & Lebiere," C.	The cascade-correlation learning architecture.	?","	2) (pp. 524-532).	(1989).	?","	Morgan Kaufmann.	Denver"," CO:	?","	Advances in Neural Information Processing Systems (Vol.	?","	?","	?","	?","	?","	?",?,?
Fahlman, S. E. and Lebiere," C.	The Cascade Correlation Learning Architecture.	2.	pp 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	In Neural Information Processing Systems	Touretzky"," D. S. (ed).	?","	?","	?","	?","	?",?,?
Fahlman, S. E. and Lebiere," C.	The Cascade Correlation Learning Architecture.	2.	pp 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	In Neural Information Processing Systems	Touretzky"," D. S. (ed).	?","	?","	?","	?","	?",?,?
Fahlman, S. E. and Lebiere," C.	The cascade-correlation learning architecture.	2.	?","	(1990).	?","	Morgan Kauffman.	?","	?","	Advances in Neural Information Processing Systems	In Touretzky (Ed.)","	?","	?","	?","	?","	?",?,?
Fahlman, S. E., & Lebiere," C.	The cascade-correlation learning architecture.	Vol. 2).	?","	(1990).	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	In Advances in Neural Information Processing Systems	D. S. Touretzky (Ed.)	?","	?","	?","	?","	?",?,?
Fahlman, S. E., & Lebiere," C.	The cascade-correlation learning architecture.	Vol. 2).	?","	(1990).	?","	Morgan Kaufmann.	San Mateo"," CA:	?","	In Advances in Neural Information Processing Systems	D. S. Touretzky (Ed.)	?","	?","	?","	?","	?",?,?
Fahlman, S.E. and Lebiere," C.	The Cascade-Correlation Learning Architecture.	II","	pp. 524-532.	(1990).	?","	Morgan Kaufmann.	?","	?","	Advances in Neural Information Processing Systems	?","	?","	?","	?","	?","	?",?,?
"S. Fahlman and C. Lebiere.	The Cascade-Correlation learning architecture.	volume2.	?","	1990.	?","	Morgan Kaufmann","	?","	?","	Advances in Neural Information Processing Systems	In D. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"S. Fahlman and C. Lebiere.	The Cascade-Correlation learning architecture.	volume2.	?","	1990.	?","	Morgan Kaufmann","	?","	?","	Advances in Neural Information Processing Systems	In D. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"S. E. Fahlman and C. Lebiere.	The cascade-correlation architecture.	2.	?","	1990.	?","	Morgan Kaufmann","	?","	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"S. Fahlman and C. Lebiere.	The cascade correlation learning algorithm.	volume2","	pages 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	Neural Information Systems	In D. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
Fahlmann, Scott," C. Lebiere.	The Cascade-Correlation Learning Architechture.	2 .	pp. 524-532.	?","	?","	Morgan Kaufmann Publishers:	Los Altos"," CA.	?","	in Advances in Neural Information Processing	?","	?","	?","	?","	?","	?",?,?
Fahlman," S.E. and Lebiere C.	The Cascade-Correlation Learning Architecture.	?","	524-532.	(1990)","	?","	Morgan Kaufmann.	San Mateo:	?","	In Advances in Neural Information Processing Systems II (Denver 1989)","	ed. D.S. Touretzky","	?","	?","	?","	?","	?",?,?
Fahlmann, Scott," C. Lebiere.	The Cascade-Correlation Learning Architechture.	2.	pp. 524-532.	?","	?","	Morgan Kaufmann Publishers:	Los Altos"," CA.	?","	in Advances in Neural Information Processing	?","	?","	?","	?","	?","	?",?,?
Fahlmann, Scott," C. Lebiere.	The Cascade-Correlation Learning Architecture.	2.	pp. 524-532.	?","	?","	Morgan Kaufmann Publishers:	Los Altos"," CA.	?","	in Advances in Neural Information Processing	?","	?","	?","	?","	?","	?",?,?
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	2.	?","	1990.	?","	Morgen Kaufmann","	?","	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"Scott E. Fahlman and Christian Lebiere.	The Cascade-Correlation learning architecture.	?","	pages 524-532","	1990.	?","	?","	?","	38 REFERENCES	In [22]","	?","	?","	?","	?","	?","	?",?,?
"S. Fahlman and C. Lebiere.	The cascade correlation learning algorithm.	2","	pages 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	Neural Information Systems	In D. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"S. Fahlman and C. Lebiere.	The cascade correlation learning algorithm.	2","	pages 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	Neural Information Systems	In D. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"S.E. Fahlman and C. Lebiere.	The cascade-correlation learning architecture.	2.	?","	1990.	?","	Morgen Kaufmann","	?","	?","	Advances in Neural Information Processing Systems	In D. S. Touretzky", editor,"	?","	?","	?","	?","	?",?,?
"Scott E. Fahlman and Christian Lebiere.	The Cascade-Correlation Learning Architecture.	2","	?","	1990.	?","	Morgan Kauffman","	?","	?","	In Advances in Neural Information Processing Systems	Touretzky"," Ed.	?","	?","	?","	?","	?",?,?
"Scott E. Fahlman and Christian Lebiere.	The Cascade-Correlation Learning Architecture.	2","	?","	1990.	?","	Morgan Kauffman","	?","	?","	In Advances in Neural Information Processing Systems	Touretzky"," Ed.	?","	?","	?","	?","	?",?,?
"Scott E. Fahlman and Christian Lebiere.	The cascade-correlation learning architecture.	?","	pages 524-532.	1990.	?","	Morgan Kauf-man","	?","	?","	In Advances in Neural Information Processing Systems II","	?","	?","	?","	?","	?","	?",?,?
Fahlman, S. E. & Lebiere," C.	The cascade-correlation learning architecture.	2.	?","	(1990).	?","	Morgan Kauffman.	?","	?","	Advances in Neural Information Processing Systems	In Touretzky (Ed.)","	?","	?","	?","	?","	?",?,?
Fahlman, S. E. & Lebiere," C.	The cascade-correlation learning architecture.	2.	?","	(1990).	?","	Morgan Kauffman.	?","	?","	Advances in Neural Information Processing Systems	In Touretzky (Ed.)","	?","	?","	?","	?","	?",?,?
Fahlman, S. E. and Lebiere," C.	The Cascade Correlation Learning Architecture.	2.	pp 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	In Neural Information Systems	Touretzky"," D. S. (ed).	?","	?","	?","	?","	?",?,?
Fahlman, S. E. and Lebiere," C.	The Cascade Correlation Learning Architecture.	2.	pp 524-532.	1990.	?","	Morgan-Kauffman","	?","	?","	In Neural Information Systems	Touretzky"," D. S. (ed).	?","	?","	?","	?","	?",?,?
Fahlman," S.E. and Lebiere C.	The Cascade-Correlation Learning Architecture.	?","	524-532.	(1990)","	?","	Morgan Kaufmann.	San Mateo:	?","	In Advances in Neural Information Processing Systems II (Denver 1989)","	ed. D.S. Touretzky","	?","	?","	?","	?","	?",?,?
Fahln," L.E.; C.G.Brown; O.Stahl; C.Carlsson.	A Space Based Model for User Interaction in Shared Synthetic Environments.	?","	43-48.	1993.	?","	ACM"," NY:	?","	?","	In Proceedings of InterCHI93 (Amsterdam).	?","	?","	?","	?","	?","	?",?,?
