sex,length,diameter,height,wholeWeight
I,0.405,0.315,0.105,0.347
I,0.42,0.33,0.1,0.352
F,0.5,0.395,0.15,0.7145
F,0.385,0.305,0.105,0.3315
I,0.33,0.265,0.09,0.18
F,0.58,0.475,0.155,0.974
I,0.325,0.27,0.1,0.185
M,0.475,0.375,0.12,0.563
F,0.38,0.3,0.09,0.3215
I,0.34,0.26,0.09,0.179
M,0.525,0.425,0.12,0.702
F,0.52,0.415,0.145,0.8045
F,0.535,0.45,0.135,0.8075
M,0.475,0.36,0.12,0.578
I,0.415,0.325,0.1,0.385
I,0.495,0.385,0.125,0.585
F,0.48,0.405,0.13,0.6375
F,0.52,0.425,0.15,0.813
M,0.46,0.375,0.13,0.5735
F,0.58,0.455,0.12,0.94
M,0.59,0.49,0.135,1.008
F,0.55,0.415,0.135,0.775
F,0.65,0.5,0.165,11.445
F,0.465,0.375,0.135,0.6
M,0.455,0.355,0.13,0.515
M,0.47,0.375,0.13,0.5795
F,0.435,0.35,0.11,0.384
M,0.35,0.265,0.11,0.2965
I,0.315,0.24,0.07,0.137
M,0.595,0.47,0.145,0.991
F,0.58,0.475,0.135,0.925
M,0.575,0.435,0.15,0.805
M,0.535,0.435,0.155,0.8915
M,0.515,0.42,0.14,0.769
F,0.505,0.385,0.135,0.6185
F,0.505,0.395,0.145,0.6515
I,0.4,0.31,0.1,0.2875
M,0.49,0.395,0.135,0.5545
M,0.53,0.435,0.135,0.7365
I,0.395,0.325,0.105,0.306
F,0.665,0.535,0.19,1.496
F,0.415,0.305,0.105,0.3605
M,0.43,0.345,0.115,0.3045
M,0.475,0.395,0.135,0.592
F,0.525,0.425,0.145,0.7995
I,0.48,0.39,0.145,0.5825
I,0.42,0.345,0.115,0.3435
M,0.59,0.46,0.155,0.906
F,0.515,0.42,0.135,0.6295
M,0.695,0.55,0.22,15.515
F,0.8,0.63,0.195,2.526
M,0.61,0.49,0.15,1.103
F,0.565,0.48,0.175,0.957
M,0.56,0.455,0.165,0.86
M,0.655,0.485,0.195,1.62
M,0.64,0.52,0.2,1.407
F,0.59,0.47,0.17,0.9
I,0.31,0.24,0.09,0.1455
I,0.255,0.185,0.07,0.075
I,0.17,0.125,0.055,0.0235
M,0.67,0.55,0.17,1.247
F,0.71,0.565,0.195,17.265
F,0.56,0.43,0.125,0.8025
M,0.505,0.4,0.13,0.764
M,0.525,0.43,0.165,0.8645
F,0.45,0.36,0.105,0.4715
F,0.515,0.435,0.17,0.631
M,0.59,0.475,0.16,0.9455
M,0.7,0.53,0.19,13.185
F,0.72,0.56,0.175,17.265
M,0.635,0.495,0.15,1.081
M,0.555,0.44,0.135,0.9025
M,0.575,0.47,0.15,11.415
M,0.585,0.455,0.125,1.027
F,0.61,0.485,0.21,13.445
F,0.645,0.525,0.2,1.449
F,0.545,0.44,0.175,0.7745
M,0.55,0.45,0.155,0.7895
F,0.66,0.525,0.205,13.665
M,0.57,0.475,0.195,10.295
F,0.6,0.47,0.2,1.031
F,0.63,0.505,0.165,1.065
M,0.695,0.57,0.23,1.885
M,0.65,0.545,0.16,12.425
F,0.72,0.595,0.225,1.969
I,0.56,0.44,0.17,0.9445
I,0.42,0.325,0.115,0.354
M,0.18,0.125,0.05,0.023
F,0.405,0.325,0.11,0.3575
F,0.5,0.405,0.15,0.5965
I,0.435,0.335,0.11,0.383
M,0.34,0.275,0.09,0.2065
F,0.43,0.34,0.11,0.382
I,0.535,0.41,0.155,0.6315
I,0.415,0.325,0.115,0.3285
F,0.36,0.265,0.09,0.2165
M,0.175,0.135,0.04,0.0305
M,0.155,0.115,0.025,0.024
I,0.525,0.43,0.15,0.7365
F,0.525,0.39,0.135,0.6005
F,0.44,0.345,0.105,0.4285
F,0.45,0.345,0.115,0.496
F,0.485,0.365,0.14,0.6195
I,0.47,0.35,0.135,0.567
I,0.515,0.375,0.14,0.6505
M,0.42,0.34,0.125,0.4495
F,0.455,0.35,0.125,0.4485
M,0.37,0.29,0.09,0.241
M,0.33,0.25,0.09,0.197
I,0.3,0.22,0.09,0.1425
I,0.625,0.46,0.16,12.395
I,0.61,0.475,0.17,10.385
I,0.625,0.465,0.155,0.972
I,0.635,0.505,0.19,13.315
I,0.5,0.385,0.155,0.762
F,0.53,0.43,0.17,0.775
I,0.445,0.33,0.1,0.437
F,0.585,0.415,0.155,0.6985
I,0.44,0.355,0.165,0.435
M,0.29,0.225,0.08,0.1295
I,0.555,0.455,0.17,0.8435
I,0.655,0.515,0.145,1.25
F,0.58,0.46,0.185,1.017
I,0.625,0.43,0.175,1.411
I,0.62,0.485,0.17,1.208
F,0.64,0.5,0.15,10.705
F,0.505,0.375,0.115,0.5895
I,0.5,0.395,0.12,0.537
M,0.31,0.245,0.095,0.15
F,0.505,0.38,0.145,0.651
I,0.42,0.305,0.11,0.28
M,0.4,0.315,0.105,0.287
M,0.425,0.315,0.125,0.3525
M,0.31,0.235,0.06,0.12
F,0.465,0.35,0.13,0.494
F,0.465,0.36,0.12,0.4765
M,0.35,0.255,0.085,0.2145
I,0.52,0.415,0.16,0.595
F,0.475,0.365,0.13,0.4805
F,0.41,0.315,0.11,0.321
M,0.26,0.2,0.065,0.096
I,0.575,0.45,0.17,0.9315
I,0.565,0.435,0.155,0.782
M,0.26,0.19,0.075,0.0945
F,0.53,0.385,0.125,0.6695
M,0.34,0.255,0.095,0.213
I,0.52,0.38,0.14,0.525
F,0.635,0.5,0.18,1.312
F,0.61,0.485,0.165,1.087
F,0.66,0.515,0.18,1.523
I,0.635,0.5,0.18,1.319
F,0.465,0.38,0.135,0.579
M,0.515,0.4,0.16,0.8175
I,0.335,0.24,0.095,0.17
F,0.515,0.4,0.17,0.796
F,0.345,0.255,0.1,0.197
M,0.465,0.355,0.125,0.5255
M,0.54,0.415,0.17,0.879
M,0.475,0.355,0.125,0.4625
F,0.445,0.335,0.14,0.4565
M,0.5,0.355,0.14,0.528
M,0.5,0.38,0.135,0.5835
F,0.55,0.435,0.17,0.884
I,0.275,0.205,0.08,0.096
F,0.35,0.265,0.09,0.1855
F,0.37,0.285,0.105,0.27
F,0.42,0.33,0.125,0.463
M,0.35,0.26,0.09,0.198
M,0.395,0.305,0.105,0.282
I,0.325,0.2,0.08,0.0995
I,0.275,0.2,0.065,0.092
I,0.235,0.17,0.065,0.0625
I,0.25,0.18,0.06,0.073
I,0.25,0.185,0.065,0.071
I,0.2,0.145,0.05,0.036
F,0.585,0.47,0.17,1.099
M,0.445,0.35,0.14,0.5905
F,0.5,0.385,0.13,0.768
M,0.44,0.325,0.08,0.413
M,0.515,0.405,0.14,0.8505
F,0.52,0.405,0.14,0.6915
M,0.5,0.39,0.13,0.709
M,0.425,0.325,0.12,0.3755
M,0.51,0.415,0.14,0.8185
F,0.37,0.275,0.08,0.227
M,0.54,0.415,0.13,0.8245
M,0.615,0.475,0.17,11.825
M,0.565,0.44,0.175,1.122
M,0.645,0.515,0.175,16.115
F,0.615,0.47,0.175,12.985
M,0.605,0.49,0.145,1.3
F,0.59,0.455,0.165,1.161
M,0.645,0.485,0.155,1.489
M,0.57,0.42,0.155,1.008
F,0.47,0.355,0.18,0.441
F,0.5,0.44,0.155,0.742
F,0.52,0.425,0.145,0.7
M,0.39,0.285,0.095,0.271
M,0.52,0.4,0.165,0.8565
F,0.54,0.415,0.175,0.8975
M,0.46,0.36,0.135,0.6105
I,0.355,0.26,0.09,0.1925
F,0.49,0.4,0.145,0.6635
F,0.63,0.51,0.185,1.235
M,0.5,0.385,0.145,0.7615
M,0.49,0.39,0.135,0.592
M,0.44,0.325,0.115,0.39
F,0.515,0.395,0.165,0.7565
F,0.475,0.38,0.145,0.57
I,0.42,0.31,0.1,0.2865
M,0.4,0.305,0.13,0.2935
M,0.45,0.36,0.16,0.567
F,0.52,0.4,0.13,0.6245
M,0.505,0.4,0.155,0.8415
M,0.495,0.4,0.14,0.7775
M,0.54,0.41,0.145,0.989
F,0.48,0.39,0.125,0.6905
F,0.33,0.26,0.08,0.2
I,0.285,0.21,0.07,0.109
I,0.3,0.23,0.075,0.127
I,0.31,0.24,0.105,0.2885
I,0.34,0.255,0.075,0.18
I,0.375,0.3,0.075,0.144
I,0.415,0.325,0.1,0.4665
I,0.415,0.315,0.105,0.33
I,0.415,0.315,0.09,0.3625
I,0.42,0.32,0.1,0.34
I,0.425,0.31,0.105,0.365
M,0.465,0.375,0.11,0.5
F,0.465,0.35,0.135,0.6265
I,0.47,0.37,0.11,0.5555
F,0.47,0.375,0.12,0.6015
I,0.475,0.365,0.12,0.53
M,0.48,0.37,0.135,0.6315
M,0.5,0.4,0.13,0.7715
I,0.505,0.39,0.185,0.6125
M,0.525,0.425,0.19,0.872
M,0.54,0.42,0.12,0.8115
M,0.545,0.45,0.15,0.8795
F,0.565,0.44,0.15,0.983
M,0.58,0.46,0.18,1.145
M,0.59,0.455,0.16,1.09
M,0.59,0.48,0.16,1.262
M,0.595,0.49,0.185,1.185
F,0.6,0.475,0.135,14.405
F,0.6,0.5,0.155,1.332
F,0.6,0.485,0.165,11.405
M,0.605,0.475,0.175,1.201
F,0.625,0.49,0.155,1.33
M,0.63,0.5,0.185,1.362
M,0.64,0.585,0.195,1.647
F,0.64,0.5,0.18,14.995
F,0.655,0.545,0.165,16.225
I,0.66,0.525,0.215,1.786
M,0.66,0.535,0.2,1.791
F,0.675,0.555,0.205,1.925
F,0.675,0.55,0.175,1.689
F,0.69,0.55,0.18,1.659
F,0.695,0.53,0.2,20.475
F,0.7,0.525,0.19,16.015
F,0.73,0.57,0.165,20.165
I,0.205,0.15,0.065,0.04
I,0.225,0.17,0.07,0.0565
I,0.23,0.18,0.05,0.064
I,0.275,0.195,0.07,0.0875
I,0.28,0.21,0.055,0.106
I,0.28,0.22,0.08,0.1315
I,0.295,0.22,0.07,0.126
I,0.31,0.225,0.075,0.155
I,0.315,0.235,0.07,0.149
I,0.34,0.265,0.07,0.185
I,0.37,0.29,0.08,0.2545
I,0.38,0.285,0.085,0.237
I,0.39,0.295,0.1,0.279
I,0.405,0.31,0.065,0.3205
I,0.415,0.325,0.1,0.3335
I,0.44,0.335,0.11,0.3885
I,0.44,0.345,0.115,0.545
I,0.44,0.325,0.1,0.4165
I,0.44,0.355,0.12,0.495
I,0.45,0.35,0.125,0.4775
I,0.45,0.35,0.12,0.468
F,0.455,0.35,0.12,0.4555
F,0.46,0.35,0.115,0.46
I,0.46,0.345,0.12,0.4155
I,0.46,0.345,0.115,0.4215
I,0.465,0.355,0.11,0.474
M,0.465,0.34,0.105,0.486
I,0.475,0.385,0.11,0.5735
I,0.475,0.355,0.105,0.468
M,0.48,0.37,0.1,0.5135
M,0.5,0.375,0.145,0.6215
I,0.5,0.38,0.11,0.494
I,0.505,0.385,0.12,0.6005
M,0.515,0.395,0.12,0.646
M,0.525,0.415,0.135,0.7945
M,0.525,0.425,0.125,0.812
F,0.53,0.42,0.17,0.828
M,0.53,0.41,0.14,0.681
F,0.53,0.405,0.15,0.889
M,0.54,0.435,0.14,0.7345
F,0.55,0.425,0.125,0.964
F,0.555,0.425,0.14,0.963
F,0.57,0.445,0.15,0.995
F,0.57,0.435,0.14,0.8585
M,0.575,0.45,0.155,0.948
F,0.58,0.445,0.145,0.888
F,0.585,0.45,0.16,0.9045
M,0.59,0.465,0.14,1.046
F,0.595,0.47,0.155,11.775
F,0.595,0.465,0.15,10.765
F,0.595,0.465,0.15,10.255
F,0.6,0.46,0.145,0.9325
F,0.6,0.46,0.15,1.235
M,0.6,0.46,0.15,1.247
M,0.61,0.48,0.15,11.495
F,0.615,0.485,0.16,11.575
F,0.615,0.5,0.165,1.327
M,0.615,0.47,0.155,1.2
F,0.62,0.51,0.175,12.705
F,0.62,0.485,0.175,12.155
F,0.62,0.475,0.16,13.245
M,0.625,0.48,0.17,13.555
F,0.625,0.49,0.165,1.127
F,0.625,0.49,0.175,11.075
F,0.63,0.495,0.2,14.255
F,0.63,0.495,0.145,1.147
M,0.63,0.48,0.165,1.286
F,0.635,0.495,0.18,1.596
F,0.635,0.495,0.195,1.297
M,0.645,0.49,0.16,1.251
M,0.645,0.5,0.175,15.105
F,0.65,0.5,0.185,14.415
M,0.67,0.52,0.19,16.385
F,0.69,0.545,0.205,1.933
M,0.69,0.54,0.185,1.71
F,0.695,0.55,0.155,18.495
M,0.695,0.525,0.175,1.742
F,0.7,0.575,0.205,17.975
F,0.705,0.56,0.205,2.381
M,0.765,0.585,0.18,2.398
M,0.77,0.6,0.215,21.945
I,0.22,0.16,0.05,0.049
I,0.275,0.205,0.07,0.1055
I,0.29,0.21,0.06,0.1045
I,0.33,0.24,0.075,0.163
I,0.355,0.285,0.095,0.2275
I,0.375,0.29,0.1,0.219
I,0.415,0.315,0.1,0.3645
I,0.425,0.33,0.115,0.3265
I,0.425,0.34,0.1,0.3515
I,0.43,0.32,0.1,0.3465
I,0.44,0.34,0.1,0.407
I,0.44,0.335,0.115,0.4215
I,0.46,0.345,0.11,0.3755
I,0.46,0.37,0.12,0.5335
I,0.465,0.355,0.105,0.442
I,0.475,0.365,0.1,0.1315
I,0.475,0.375,0.115,0.5205
I,0.485,0.375,0.13,0.5535
I,0.49,0.375,0.125,0.5445
M,0.49,0.38,0.11,0.554
I,0.495,0.38,0.12,0.512
I,0.5,0.39,0.125,0.583
M,0.5,0.38,0.12,0.5765
M,0.505,0.4,0.135,0.723
I,0.51,0.395,0.155,0.5395
I,0.51,0.385,0.15,0.625
I,0.515,0.4,0.125,0.5925
I,0.52,0.395,0.135,0.633
F,0.545,0.43,0.14,0.832
M,0.545,0.42,0.145,0.778
M,0.545,0.42,0.12,0.7865
F,0.545,0.4,0.14,0.778
I,0.55,0.42,0.13,0.636
F,0.55,0.44,0.135,0.8435
I,0.555,0.425,0.13,0.648
M,0.565,0.43,0.13,0.784
F,0.57,0.45,0.18,0.908
M,0.57,0.45,0.135,1.02
F,0.57,0.43,0.16,0.811
F,0.575,0.48,0.15,0.897
M,0.58,0.455,0.13,0.852
F,0.585,0.45,0.15,0.938
F,0.585,0.435,0.14,0.6955
M,0.59,0.47,0.15,0.861
M,0.59,0.46,0.14,1.004
F,0.59,0.46,0.16,10.115
F,0.595,0.465,0.15,11.005
M,0.595,0.47,0.165,1.108
M,0.595,0.46,0.14,0.852
M,0.6,0.49,0.21,19.875
F,0.605,0.48,0.15,1.079
F,0.615,0.475,0.17,1.055
M,0.615,0.45,0.15,1.198
F,0.615,0.47,0.155,1.084
M,0.615,0.475,0.175,1.103
M,0.62,0.49,0.155,1.1
M,0.62,0.48,0.15,11.015
M,0.625,0.495,0.185,13.835
F,0.625,0.49,0.155,1.115
M,0.625,0.48,0.145,1.085
M,0.63,0.505,0.15,13.165
M,0.63,0.51,0.175,13.415
M,0.63,0.465,0.15,1.027
M,0.645,0.515,0.16,11.845
M,0.645,0.48,0.15,1.192
F,0.645,0.52,0.18,1.285
M,0.65,0.515,0.125,11.805
M,0.65,0.52,0.175,12.655
F,0.65,0.535,0.175,12.895
M,0.65,0.51,0.155,1.407
F,0.65,0.49,0.155,1.122
M,0.66,0.515,0.165,14.465
F,0.665,0.505,0.165,1.349
M,0.67,0.5,0.2,1.269
M,0.67,0.51,0.18,1.68
F,0.675,0.55,0.19,1.551
M,0.68,0.52,0.165,14.775
M,0.68,0.53,0.18,1.529
M,0.7,0.525,0.175,17.585
M,0.7,0.55,0.2,1.523
F,0.725,0.53,0.19,17.315
M,0.725,0.55,0.2,1.51
M,0.735,0.57,0.175,1.88
F,0.74,0.575,0.22,2.012
M,0.75,0.555,0.215,2.201
I,0.19,0.14,0.03,0.0315
I,0.21,0.15,0.045,0.04
I,0.25,0.175,0.06,0.0635
I,0.29,0.215,0.065,0.0985
I,0.335,0.25,0.08,0.167
I,0.34,0.245,0.085,0.2015
I,0.345,0.255,0.095,0.183
I,0.355,0.255,0.08,0.187
I,0.36,0.26,0.08,0.1795
I,0.37,0.275,0.09,0.2065
I,0.375,0.29,0.14,0.3
I,0.375,0.275,0.095,0.2295
I,0.385,0.3,0.125,0.343
I,0.385,0.285,0.085,0.244
I,0.395,0.32,0.1,0.3075
I,0.4,0.305,0.1,0.3415
I,0.405,0.305,0.1,0.271
I,0.405,0.31,0.11,0.91
I,0.405,0.305,0.1,0.268
I,0.405,0.3,0.09,0.2885
I,0.41,0.315,0.1,0.3
I,0.41,0.325,0.11,0.326
I,0.415,0.335,0.1,0.358
I,0.42,0.325,0.115,0.314
I,0.42,0.315,0.11,0.4025
I,0.43,0.34,0.11,0.3645
I,0.445,0.36,0.11,0.4235
M,0.45,0.325,0.115,0.4305
I,0.45,0.335,0.095,0.3505
I,0.455,0.34,0.115,0.486
I,0.46,0.35,0.1,0.471
I,0.46,0.345,0.105,0.415
I,0.475,0.355,0.115,0.5195
M,0.48,0.375,0.12,0.5895
I,0.485,0.38,0.125,0.5215
I,0.485,0.365,0.14,0.4475
I,0.49,0.365,0.125,0.5585
I,0.505,0.385,0.125,0.596
I,0.505,0.38,0.135,0.5385
I,0.51,0.385,0.145,0.7665
F,0.515,0.395,0.135,0.516
M,0.515,0.41,0.14,0.7355
I,0.515,0.39,0.11,0.531
I,0.525,0.385,0.13,0.607
F,0.525,0.415,0.15,0.7055
I,0.525,0.4,0.13,0.6445
I,0.525,0.375,0.12,0.6315
M,0.535,0.43,0.155,0.7845
F,0.545,0.44,0.15,0.9475
I,0.55,0.43,0.145,0.712
I,0.55,0.425,0.145,0.89
I,0.55,0.42,0.155,0.912
I,0.55,0.425,0.135,0.656
I,0.55,0.465,0.15,0.936
I,0.555,0.435,0.145,0.6975
F,0.555,0.445,0.175,11.465
I,0.56,0.44,0.14,0.825
I,0.56,0.435,0.135,0.72
I,0.565,0.43,0.15,0.8215
F,0.57,0.445,0.155,1.017
F,0.575,0.435,0.155,0.8975
M,0.58,0.44,0.175,12.255
F,0.58,0.465,0.145,0.9865
F,0.58,0.425,0.15,0.844
I,0.585,0.46,0.145,0.8465
M,0.585,0.465,0.165,0.885
I,0.585,0.42,0.145,0.6735
F,0.585,0.455,0.13,0.8755
M,0.59,0.47,0.145,0.9235
M,0.59,0.475,0.14,0.977
M,0.595,0.475,0.14,10.305
M,0.6,0.48,0.09,1.05
M,0.6,0.495,0.185,11.145
M,0.6,0.45,0.145,0.877
M,0.6,0.51,0.185,1.285
M,0.61,0.48,0.185,13.065
F,0.61,0.45,0.13,0.8725
F,0.615,0.46,0.15,10.265
F,0.62,0.465,0.14,11.605
F,0.62,0.48,0.165,10.125
M,0.625,0.5,0.14,1.096
M,0.625,0.49,0.165,1.205
M,0.63,0.505,0.175,1.221
F,0.63,0.475,0.155,10.005
M,0.63,0.47,0.15,11.355
M,0.63,0.525,0.195,13.135
M,0.64,0.505,0.155,11.955
M,0.64,0.485,0.15,1.098
M,0.64,0.495,0.17,1.139
F,0.64,0.495,0.17,12.265
M,0.64,0.515,0.08,1.042
M,0.65,0.52,0.155,1.368
M,0.65,0.51,0.175,1.446
F,0.66,0.505,0.19,14.045
F,0.66,0.525,0.2,1.463
F,0.675,0.525,0.17,1.711
M,0.7,0.54,0.205,1.74
F,0.705,0.54,0.205,1.757
M,0.71,0.565,0.2,1.601
M,0.72,0.55,0.205,2.165
M,0.725,0.57,0.19,23.305
I,0.24,0.17,0.05,0.0545
I,0.255,0.195,0.055,0.0725
I,0.275,0.2,0.055,0.0925
I,0.32,0.235,0.09,0.183
I,0.325,0.24,0.075,0.1525
I,0.33,0.225,0.075,0.187
I,0.36,0.27,0.09,0.232
I,0.375,0.265,0.095,0.196
I,0.375,0.285,0.09,0.2545
I,0.39,0.29,0.09,0.2625
I,0.45,0.335,0.105,0.362
I,0.455,0.35,0.105,0.4445
I,0.46,0.365,0.115,0.511
I,0.495,0.375,0.12,0.589
M,0.5,0.365,0.13,0.5945
I,0.5,0.375,0.12,0.529
M,0.52,0.4,0.105,0.872
I,0.52,0.395,0.145,0.77
F,0.525,0.43,0.135,0.8435
M,0.535,0.405,0.14,0.818
F,0.54,0.42,0.14,0.8035
F,0.54,0.415,0.15,0.8115
F,0.57,0.425,0.13,0.782
M,0.57,0.42,0.14,0.8745
M,0.58,0.445,0.16,0.984
F,0.58,0.445,0.135,0.95
M,0.59,0.47,0.155,11.735
F,0.59,0.455,0.15,0.976
M,0.59,0.485,0.155,10.785
M,0.595,0.435,0.16,1.057
M,0.6,0.475,0.175,1.11
M,0.6,0.45,0.16,1.142
M,0.605,0.475,0.19,11.255
F,0.62,0.48,0.17,11.045
M,0.625,0.475,0.175,13.405
M,0.625,0.5,0.13,1.082
F,0.625,0.485,0.16,1.254
M,0.63,0.49,0.165,12.005
M,0.63,0.485,0.16,1.243
F,0.635,0.51,0.185,1.286
F,0.645,0.49,0.16,11.665
F,0.645,0.49,0.16,1.144
F,0.65,0.525,0.19,1.385
F,0.655,0.515,0.155,1.309
F,0.655,0.515,0.17,1.527
M,0.665,0.515,0.19,16.385
M,0.695,0.54,0.195,1.691
F,0.72,0.565,0.18,1.719
F,0.72,0.55,0.18,1.52
F,0.72,0.565,0.17,1.613
M,0.735,0.57,0.21,22.355
M,0.74,0.595,0.19,23.235
I,0.31,0.23,0.07,0.1245
I,0.315,0.235,0.075,0.1285
I,0.32,0.205,0.08,0.181
I,0.325,0.25,0.075,0.1585
I,0.335,0.26,0.09,0.1965
I,0.37,0.28,0.085,0.198
I,0.37,0.27,0.09,0.1855
I,0.375,0.28,0.085,0.2145
I,0.4,0.315,0.09,0.3245
I,0.41,0.305,0.095,0.2625
I,0.425,0.34,0.1,0.371
I,0.435,0.335,0.095,0.298
I,0.445,0.31,0.09,0.336
I,0.46,0.36,0.14,0.447
F,0.465,0.35,0.11,0.4085
I,0.47,0.385,0.13,0.587
I,0.475,0.375,0.11,0.494
I,0.495,0.375,0.12,0.614
I,0.5,0.39,0.13,0.5075
I,0.5,0.37,0.12,0.5445
I,0.505,0.425,0.125,0.6115
I,0.505,0.4,0.125,0.5605
M,0.505,0.365,0.115,0.521
I,0.51,0.4,0.145,0.5775
I,0.51,0.4,0.125,0.5935
I,0.52,0.4,0.11,0.597
M,0.52,0.465,0.15,0.9505
I,0.53,0.38,0.125,0.616
M,0.53,0.405,0.15,0.8315
F,0.535,0.445,0.125,0.8725
I,0.54,0.425,0.13,0.8155
I,0.54,0.415,0.11,0.619
I,0.545,0.43,0.13,0.7595
I,0.545,0.43,0.15,0.742
I,0.55,0.435,0.165,0.804
I,0.55,0.425,0.13,0.664
F,0.55,0.435,0.14,0.745
I,0.56,0.43,0.13,0.728
I,0.56,0.435,0.13,0.777
F,0.575,0.425,0.15,0.8765
I,0.575,0.455,0.16,0.9895
M,0.575,0.45,0.165,0.9655
M,0.58,0.465,0.15,0.9065
M,0.58,0.46,0.15,1.049
F,0.58,0.45,0.17,0.9705
F,0.58,0.45,0.15,0.92
M,0.58,0.445,0.15,0.9525
F,0.58,0.44,0.125,0.7855
I,0.585,0.45,0.135,0.855
M,0.59,0.5,0.15,1.142
I,0.59,0.46,0.125,0.755
I,0.59,0.475,0.145,0.9745
M,0.595,0.47,0.155,12.015
M,0.595,0.46,0.17,11.295
I,0.6,0.445,0.135,0.9205
F,0.6,0.48,0.17,1.056
M,0.6,0.45,0.195,1.34
F,0.6,0.45,0.15,0.9625
M,0.6,0.465,0.165,10.475
F,0.605,0.495,0.17,10.915
M,0.605,0.49,0.18,1.167
I,0.605,0.48,0.155,0.9995
I,0.61,0.425,0.155,10.485
F,0.61,0.47,0.195,12.735
M,0.61,0.48,0.14,10.625
I,0.61,0.49,0.16,11.545
F,0.615,0.475,0.175,1.194
F,0.615,0.515,0.135,11.215
M,0.615,0.455,0.15,0.9335
F,0.615,0.495,0.165,1.198
F,0.62,0.475,0.15,0.9545
M,0.62,0.475,0.195,13.585
M,0.625,0.495,0.175,12.075
M,0.625,0.515,0.165,1.217
F,0.625,0.5,0.16,1.217
F,0.625,0.49,0.145,0.92
M,0.625,0.49,0.12,0.8765
F,0.63,0.48,0.165,12.615
M,0.63,0.53,0.18,12.795
F,0.63,0.485,0.185,1.167
M,0.63,0.51,0.17,11.885
F,0.635,0.485,0.19,13.765
M,0.635,0.52,0.175,1.292
M,0.635,0.485,0.18,11.795
F,0.635,0.5,0.19,1.29
M,0.635,0.515,0.16,12.075
M,0.64,0.505,0.18,1.297
M,0.64,0.575,0.175,14.585
F,0.645,0.485,0.15,1.151
F,0.645,0.52,0.17,1.197
M,0.645,0.495,0.19,1.539
M,0.65,0.52,0.195,1.676
F,0.65,0.565,0.2,16.645
F,0.655,0.5,0.205,1.528
F,0.655,0.515,0.2,1.494
F,0.66,0.525,0.16,1.277
F,0.66,0.525,0.18,15.965
F,0.665,0.51,0.175,13.805
I,0.67,0.485,0.175,12.565
F,0.67,0.525,0.19,1.527
M,0.67,0.525,0.17,14.005
M,0.67,0.525,0.195,14.405
M,0.67,0.54,0.175,1.482
M,0.68,0.515,0.16,12.345
F,0.68,0.505,0.17,13.435
M,0.685,0.505,0.19,1.533
M,0.69,0.515,0.18,18.445
M,0.715,0.55,0.175,1.825
M,0.72,0.58,0.19,20.885
M,0.735,0.59,0.205,2.087
M,0.745,0.575,0.2,1.884
I,0.32,0.215,0.095,0.305
I,0.43,0.345,0.115,0.4295
I,0.43,0.33,0.1,0.449
M,0.485,0.365,0.155,1.029
M,0.49,0.355,0.155,0.981
I,0.5,0.37,0.115,0.5745
F,0.505,0.38,0.13,0.693
F,0.51,0.37,0.21,1.183
F,0.525,0.41,0.135,0.7905
F,0.535,0.4,0.15,1.224
I,0.535,0.4,0.135,0.775
M,0.535,0.405,0.175,12.705
M,0.555,0.405,0.19,1.406
M,0.555,0.425,0.15,0.873
M,0.56,0.425,0.135,0.9415
F,0.59,0.44,0.14,1.007
M,0.595,0.485,0.15,10.835
I,0.595,0.43,0.165,0.9845
F,0.595,0.43,0.21,15.245
M,0.61,0.475,0.175,1.024
M,0.61,0.485,0.17,1.281
F,0.62,0.5,0.17,1.148
F,0.625,0.49,0.11,1.136
F,0.635,0.51,0.17,12.235
F,0.635,0.525,0.18,13.695
M,0.64,0.485,0.16,1.006
M,0.64,0.495,0.165,1.307
M,0.645,0.505,0.185,1.463
F,0.655,0.505,0.175,12.905
F,0.67,0.515,0.17,14.265
M,0.68,0.54,0.21,17.885
M,0.7,0.545,0.185,16.135
M,0.73,0.585,0.225,22.305
F,0.75,0.615,0.205,22.635
I,0.255,0.185,0.065,0.074
I,0.375,0.26,0.08,0.2075
I,0.375,0.285,0.09,0.237
I,0.39,0.3,0.1,0.2665
I,0.39,0.28,0.09,0.215
I,0.395,0.3,0.09,0.253
I,0.42,0.32,0.11,0.309
I,0.435,0.335,0.105,0.3535
I,0.435,0.325,0.105,0.335
I,0.44,0.32,0.105,0.3875
I,0.45,0.33,0.115,0.365
I,0.45,0.34,0.125,0.4045
I,0.455,0.355,0.105,0.372
I,0.46,0.37,0.11,0.3965
I,0.47,0.375,0.125,0.5225
I,0.475,0.375,0.11,0.456
I,0.495,0.33,0.1,0.44
I,0.495,0.375,0.115,0.507
I,0.5,0.38,0.135,0.5285
I,0.515,0.385,0.125,0.572
I,0.52,0.41,0.14,0.6625
I,0.52,0.395,0.115,0.6445
I,0.525,0.4,0.11,0.6275
I,0.535,0.42,0.145,0.6885
M,0.535,0.41,0.12,0.6835
M,0.54,0.42,0.19,0.6855
I,0.55,0.405,0.15,0.6755
I,0.55,0.445,0.145,0.783
M,0.56,0.45,0.145,0.894
I,0.565,0.44,0.135,0.768
M,0.57,0.45,0.145,0.95
F,0.57,0.47,0.14,0.871
M,0.575,0.47,0.15,0.9785
I,0.575,0.43,0.13,0.7425
M,0.575,0.445,0.14,0.737
I,0.575,0.445,0.16,0.9175
F,0.58,0.435,0.155,0.8785
M,0.585,0.45,0.175,11.275
